"position","const","created","modified","description","Title","Title type","Directors","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"17","tt0088263","Thu Jun  9 02:48:55 2011","Fri Oct  2 00:46:50 2015","Halloween just wouldnt be the same without this horror inspired pop classic.","Michael Jackson: Thriller","Video","John Landis","8.6","13","1983","horror, music","11231","1983-11","http://www.imdb.com/title/tt0088263/"
"18","tt0089593","Thu Jun  9 02:50:07 2011","Thu Oct  1 23:24:39 2015","This movie is seldom mentioned anymore which is a shame because its a fun little Halloween movie.","The Midnight Hour","TV Movie","Jack Bender","6.9","94","1985","comedy, horror, romance, thriller","986","1985-11-01","http://www.imdb.com/title/tt0089593/"
"19","tt0385880","Tue Mar  8 05:14:32 2011","Thu Oct  1 23:25:31 2015","Super fun animated feature about a bunch of kids who take on a house thats been possessed.","Monster House","Feature Film","Gil Kenan","6.6","91","2006","animation, comedy, family, fantasy, mystery","69707","2006-06-15","http://www.imdb.com/title/tt0385880/"
"20","tt0092239","Fri Oct 14 13:28:02 2011","Fri Oct 14 13:28:02 2011","","The Worst Witch","TV Movie","Robert Young","7.2","70","1986","comedy, family, fantasy, musical","1831","1986-10-31","http://www.imdb.com/title/tt0092239/"
"21","tt0070047","Thu Jun  9 02:35:16 2011","Thu Oct  1 23:16:04 2015","Probably one of the greatest horror movies ever made.","The Exorcist","Feature Film","William Friedkin","8.0","122","1973","horror","281169","1973-12-26","http://www.imdb.com/title/tt0070047/"
"22","tt0057729","Fri Oct 14 01:06:07 2011","Fri Oct 10 10:46:24 2014","+ Halloween with the new Addams Family (1977)","The Addams Family","TV Series","","8.0","30","1964","comedy, family, horror","8578","1964-09-18","http://www.imdb.com/title/tt0057729/"
"23","tt0057773","Fri Oct 14 01:06:16 2011","Mon Oct 27 07:51:51 2014","+ Munster, Go Home! & Munsters Revenge","The Munsters","TV Series","","7.9","30","1964","comedy, family, fantasy","7648","1964-09-24","http://www.imdb.com/title/tt0057773/"
"24","tt0083866","Mon Aug 26 09:22:37 2013","Mon Aug 26 10:28:41 2013","","E.T. the Extra-Terrestrial","Feature Film","Steven Spielberg","7.9","115","1982","family, sci_fi","278424","1982-05-26","http://www.imdb.com/title/tt0083866/"
"25","tt0087332","Fri Oct 14 14:00:36 2011","Fri Oct 14 14:00:36 2011","","Ghostbusters","Feature Film","Ivan Reitman","7.8","105","1984","adventure, comedy, fantasy","261064","1984-06-07","http://www.imdb.com/title/tt0087332/"
"26","tt0167404","Fri Oct 17 09:44:30 2014","Fri Oct 17 09:44:30 2014","","The Sixth Sense","Feature Film","M. Night Shyamalan","8.1","107","1999","drama, mystery, thriller","695785","1999-08-02","http://www.imdb.com/title/tt0167404/"
"27","tt0097814","Tue Oct 14 00:07:40 2014","Tue Oct 14 00:07:40 2014","","Kiki's Delivery Service","Feature Film","Hayao Miyazaki","7.9","103","1989","animation, adventure, drama, family, fantasy","74623","1989-07-29","http://www.imdb.com/title/tt0097814/"
"28","tt0086336","Thu Jun  9 02:16:22 2011","Thu Jun  9 02:16:22 2011","","Something Wicked This Way Comes","Feature Film","Jack Clayton","6.8","95","1983","fantasy, mystery, thriller","6274","1983-04-29","http://www.imdb.com/title/tt0086336/"
"29","tt0327597","Fri Oct 14 13:30:04 2011","Fri Oct 14 13:30:04 2011","","Coraline","Feature Film","Henry Selick","7.7","100","2009","animation, fantasy","141038","2009-02-05","http://www.imdb.com/title/tt0327597/"
"30","tt0100944","Thu Jun  9 02:07:59 2011","Thu Jun  9 02:07:59 2011","","The Witches","Feature Film","Nicolas Roeg","6.8","91","1990","adventure, comedy, fantasy, mystery","24128","1990-05-25","http://www.imdb.com/title/tt0100944/"
"31","tt0084516","Fri Nov  1 00:15:00 2013","Fri Nov  1 00:15:00 2013","","Poltergeist","Feature Film","Tobe Hooper","7.4","114","1982","fantasy, horror","103679","1982-06-04","http://www.imdb.com/title/tt0084516/"
"32","tt0304141","Wed Oct 30 06:20:37 2013","Wed Oct 30 06:20:37 2013","","Harry Potter and the Prisoner of Azkaban","Feature Film","Alfonso Cuarón","7.8","142","2004","adventure, family, fantasy, mystery","376488","2004-05-31","http://www.imdb.com/title/tt0304141/"
"33","tt0054215","Wed Oct  1 12:15:38 2014","Wed Oct  1 12:15:38 2014","","Psycho","Feature Film","Alfred Hitchcock","8.5","109","1960","horror, mystery, thriller","415912","1960-06-16","http://www.imdb.com/title/tt0054215/"
"34","tt0073629","Mon Oct 26 03:15:29 2015","Mon Oct 26 03:15:29 2015","","The Rocky Horror Picture Show","Feature Film","Jim Sharman","7.4","100","1975","comedy, musical","101493","1975-08-14","http://www.imdb.com/title/tt0073629/"
"35","tt0063350","Thu Jun  9 02:37:07 2011","Mon Oct 20 06:13:20 2014","+ Dawn of the Dead, Day of the Dead & Zack Snyder's Dawn of the Dead Remake","Night of the Living Dead","Feature Film","George A. Romero","8.0","96","1968","drama, horror, mystery","86994","1968-10-01","http://www.imdb.com/title/tt0063350/"
"36","tt0109707","Mon Aug 26 09:23:57 2013","Mon Aug 26 09:23:57 2013","","Ed Wood","Feature Film","Tim Burton","7.9","127","1994","biography, comedy, drama","141456","1994-09-23","http://www.imdb.com/title/tt0109707/"
"37","tt0088930","Mon Aug 26 09:42:00 2013","Mon Aug 26 09:42:00 2013","","Clue","Feature Film","Jonathan Lynn","7.3","94","1985","comedy, crime, mystery, thriller","56790","1985-12-13","http://www.imdb.com/title/tt0088930/"
"38","tt0092991","Thu Jun  9 02:32:55 2011","Fri Oct 10 11:24:46 2014","+ The Evil Dead","Evil Dead II","Feature Film","Sam Raimi","7.8","84","1987","comedy, fantasy, horror, thriller","111920","1987-03-13","http://www.imdb.com/title/tt0092991/"
"39","tt0116365","Fri Oct 14 01:07:29 2011","Fri Oct 14 01:07:29 2011","","The Frighteners","Feature Film","Peter Jackson","7.1","110","1996","comedy, fantasy, horror","67824","1996-07-19","http://www.imdb.com/title/tt0116365/"
"40","tt0138510","Tue Mar  8 05:15:47 2011","Tue Mar  8 05:15:47 2011","","Idle Hands","Feature Film","Rodman Flender","6.2","92","1999","comedy, horror, thriller","33505","1999-04-30","http://www.imdb.com/title/tt0138510/"
"41","tt0021814","Thu Jun  9 02:50:31 2011","Thu Jun  9 02:50:31 2011","","Dracula","Feature Film","Tod Browning","7.6","85","1931","fantasy, horror","32540","1931-02-12","http://www.imdb.com/title/tt0021814/"
"42","tt0021884","Thu Jun  9 02:50:40 2011","Fri Oct 10 11:24:32 2014","+ The Bride of Frankenstein","Frankenstein","Feature Film","James Whale","8.0","70","1931","drama, horror, sci_fi","47753","1931-11-21","http://www.imdb.com/title/tt0021884/"
"43","tt0115963","Mon Aug 26 09:37:54 2013","Mon Aug 26 09:37:54 2013","","The Craft","Feature Film","Andrew Fleming","6.2","101","1996","drama, fantasy, horror, thriller","56418","1996-05-03","http://www.imdb.com/title/tt0115963/"
"44","tt1457767","Wed Oct 30 06:01:15 2013","Wed Oct 30 06:01:15 2013","","The Conjuring","Feature Film","James Wan","7.5","112","2013","horror, mystery, thriller","287258","2013-06-08","http://www.imdb.com/title/tt1457767/"
"45","tt1623288","Mon Aug 26 09:00:15 2013","Mon Aug 26 09:00:15 2013","","ParaNorman","Feature Film","Chris Butler, Sam Fell","7.0","92","2012","animation, adventure, comedy, family, fantasy","71410","2012-08-03","http://www.imdb.com/title/tt1623288/"
"46","tt0084787","Fri Oct 10 10:35:00 2014","Fri Oct 10 10:35:00 2014","","The Thing","Feature Film","John Carpenter","8.2","109","1982","horror, sci_fi","253981","1982-06-25","http://www.imdb.com/title/tt0084787/"
"47","tt0120616","Fri Oct 10 11:07:20 2014","Fri Oct 10 11:07:20 2014","","The Mummy","Feature Film","Stephen Sommers","7.0","125","1999","action, adventure, fantasy","314917","1999-04-16","http://www.imdb.com/title/tt0120616/"
"48","tt0837562","Mon Aug 26 09:32:01 2013","Mon Aug 26 09:32:01 2013","","Hotel Transylvania","Feature Film","Genndy Tartakovsky","7.1","91","2012","animation, comedy, family, fantasy","160811","2012-09-08","http://www.imdb.com/title/tt0837562/"
"49","tt0089175","Thu Jun  9 02:50:25 2011","Thu Jun  9 02:50:25 2011","","Fright Night","Feature Film","Tom Holland","7.1","106","1985","fantasy, horror, thriller","41904","1985-08-02","http://www.imdb.com/title/tt0089175/"
"50","tt0089885","Tue Oct  4 05:29:11 2011","Tue Oct  4 05:29:11 2011","","Re-Animator","Feature Film","Stuart Gordon","7.3","104","1985","comedy, horror, sci_fi","39309","1985-05-24","http://www.imdb.com/title/tt0089885/"
"51","tt0082010","Thu Jun  9 02:48:45 2011","Thu Jun  9 02:48:45 2011","","An American Werewolf in London","Feature Film","John Landis","7.6","97","1981","comedy, fantasy, horror","63482","1981-08-21","http://www.imdb.com/title/tt0082010/"
"52","tt0103873","Mon Aug 26 10:24:38 2013","Mon Aug 26 10:24:38 2013","","Dead Alive","Feature Film","Peter Jackson","7.6","104","1992","comedy, fantasy, horror","76677","1992-07-30","http://www.imdb.com/title/tt0103873/"
"53","tt0251736","Mon Aug 26 08:55:13 2013","Mon Aug 26 08:55:13 2013","","House of 1000 Corpses","Feature Film","Rob Zombie","6.0","89","2003","horror","60185","2003-03-13","http://www.imdb.com/title/tt0251736/"
"54","tt0089907","Thu Jun  9 02:37:55 2011","Thu Jun  9 02:37:55 2011","","The Return of the Living Dead","Feature Film","Dan O'Bannon","7.3","91","1985","comedy, horror, sci_fi","39254","1985-04-25","http://www.imdb.com/title/tt0089907/"
"55","tt0117571","Fri Oct 14 13:31:52 2011","Fri Oct 14 13:31:52 2011","","Scream","Feature Film","Wes Craven","7.2","111","1996","horror, mystery","219576","1996-12-18","http://www.imdb.com/title/tt0117571/"
"56","tt0110148","Fri Oct 10 11:06:52 2014","Fri Oct 10 11:06:52 2014","","Interview with the Vampire: The Vampire Chronicles","Feature Film","Neil Jordan","7.6","123","1994","drama, fantasy, horror","237610","1994-11-09","http://www.imdb.com/title/tt0110148/"
"57","tt0460681","Tue Oct  4 05:00:09 2011","Tue Sep 30 02:55:55 2014","Seasons 1 - 5.","Supernatural","TV Series","","8.6","44","2005","drama, fantasy, horror, mystery, thriller","279240","2005-09-13","http://www.imdb.com/title/tt0460681/"
"58","tt0121164","Thu Jun  9 02:56:24 2011","Thu Jun  9 02:56:24 2011","","Corpse Bride","Feature Film","Tim Burton, Mike Johnson","7.4","77","2005","animation, drama, family, fantasy, musical, romance","186382","2005-09-07","http://www.imdb.com/title/tt0121164/"
"59","tt0364385","Fri Oct 10 11:29:10 2014","Fri Oct 10 11:29:10 2014","","Ju-on: The Grudge","Feature Film","Takashi Shimizu","6.7","92","2002","horror","31509","2002-10-18","http://www.imdb.com/title/tt0364385/"
"60","tt0093437","Thu Jun  9 02:15:00 2011","Thu Jun  9 02:15:00 2011","","The Lost Boys","Feature Film","Joel Schumacher","7.2","97","1987","comedy, fantasy, horror","91674","1987-07-31","http://www.imdb.com/title/tt0093437/"
"61","tt0089908","Sat Oct 11 04:22:16 2014","Sat Oct 11 04:22:16 2014","","Return to Oz","Feature Film","Walter Murch","6.7","113","1985","adventure, family, fantasy, horror, mystery","19395","1985-06-21","http://www.imdb.com/title/tt0089908/"
"62","tt0109592","Fri Oct 14 13:02:43 2011","Fri Oct 14 13:02:43 2011","","Cemetery Man","Feature Film","Michele Soavi","7.3","105","1994","comedy, fantasy, horror","15995","1994-03-25","http://www.imdb.com/title/tt0109592/"
"63","tt0281686","Fri Oct 14 13:49:41 2011","Fri Oct 14 13:49:41 2011","","Bubba Ho-Tep","Feature Film","Don Coscarelli","7.2","92","2002","comedy, fantasy, mystery","38647","2002-06-09","http://www.imdb.com/title/tt0281686/"
"64","tt1591095","Wed Oct 30 06:02:08 2013","Wed Oct 30 06:02:08 2013","","Insidious","Feature Film","James Wan","6.8","103","2010","fantasy, horror, mystery, thriller","197978","2010-09-14","http://www.imdb.com/title/tt1591095/"
"65","tt0083767","Thu Jun  9 02:13:50 2011","Thu Jun  9 02:13:50 2011","","Creepshow","Feature Film","George A. Romero","6.8","120","1982","comedy, fantasy, horror","29424","1982-05","http://www.imdb.com/title/tt0083767/"
"66","tt0210070","Thu Jun  9 02:12:35 2011","Thu Jun  9 02:12:35 2011","","Ginger Snaps","Feature Film","John Fawcett","6.8","108","2000","drama, fantasy, horror","32910","2000-08-01","http://www.imdb.com/title/tt0210070/"
"67","tt0384537","Mon Aug 26 09:39:04 2013","Mon Aug 26 09:39:04 2013","","Silent Hill","Feature Film","Christophe Gans","6.6","125","2006","adventure, horror, mystery","171050","2006-04-20","http://www.imdb.com/title/tt0384537/"
"68","tt2628232","Tue Oct 21 10:54:46 2014","Tue Oct 21 10:54:46 2014","","Penny Dreadful","TV Series","","8.2","60","2014","drama, fantasy, horror","68976","2014-04-28","http://www.imdb.com/title/tt2628232/"
"69","tt0095088","Mon Aug 26 09:24:05 2013","Mon Aug 26 09:24:05 2013","","Elvira: Mistress of the Dark","Feature Film","James Signorelli","6.4","96","1988","comedy, horror","8894","1988-09-30","http://www.imdb.com/title/tt0095088/"
"70","tt2118624","Mon Sep 28 08:37:17 2015","Thu Oct 22 10:26:33 2015","","The Final Girls","Feature Film","Todd Strauss-Schulson","6.7","88","2015","comedy, horror","17623","2015-03-13","http://www.imdb.com/title/tt2118624/"
"71","tt0259153","Fri Oct 10 10:35:37 2014","Fri Oct 10 10:35:37 2014","","Rose Red","Mini-Series","","6.7","270","2002","horror, mystery, thriller","17443","2002-01-27","http://www.imdb.com/title/tt0259153/"
"72","tt0061931","Mon Aug 26 10:23:37 2013","Mon Aug 26 10:23:37 2013","","Mad Monster Party?","Feature Film","Jules Bass","6.7","94","1967","animation, comedy, family, fantasy, musical","2084","1967-03-08","http://www.imdb.com/title/tt0061931/"
"73","tt0093624","Thu Jun  9 02:05:38 2011","Thu Jun  9 02:05:38 2011","","Night of the Demons","Feature Film","Kevin S. Tenney","6.3","90","1988","horror","8793","1988-04-27","http://www.imdb.com/title/tt0093624/"
"74","tt1077368","Mon Aug 26 09:35:21 2013","Mon Aug 26 09:35:21 2013","","Dark Shadows","Feature Film","Tim Burton","6.2","113","2012","comedy, fantasy, horror","196853","2012-05-09","http://www.imdb.com/title/tt1077368/"
"75","tt0095484","Thu Jun  9 02:52:33 2011","Thu Jun  9 02:52:33 2011","","Lady in White","Feature Film","Frank LaLoggia","6.7","112","1988","fantasy, horror, mystery, thriller","4636","1988-04-22","http://www.imdb.com/title/tt0095484/"
"76","tt2446040","Wed Oct 30 05:57:21 2013","Wed Oct 30 05:57:21 2013","","Toy Story of Terror","Short Film","Angus MacLane","7.6","22","2013","animation, adventure, comedy, family, horror","8695","2013-10-16","http://www.imdb.com/title/tt2446040/"
"77","tt0114608","Fri Oct 14 13:41:02 2011","Fri Oct 14 13:41:02 2011","","Tales from the Crypt: Demon Knight","Feature Film","Ernest Dickerson","6.7","92","1995","action, fantasy, horror, thriller","16509","1995-01-13","http://www.imdb.com/title/tt0114608/"
"78","tt0112462","Fri Oct 17 09:54:22 2014","Fri Oct 17 09:54:22 2014","","Batman Forever","Feature Film","Joel Schumacher","5.4","121","1995","action, adventure, fantasy","188570","1995-06-09","http://www.imdb.com/title/tt0112462/"
"79","tt1725156","Fri Oct 14 14:13:52 2011","Fri Oct 14 14:13:52 2011","","Scared Shrekless","Short Film","Gary Trousdale, Raman Hui","6.8","26","2010","animation, adventure, comedy, family","2623","2010-10-28","http://www.imdb.com/title/tt1725156/"
"80","tt1268809","Thu Jun  9 02:05:09 2011","Thu Jun  9 02:05:09 2011","","Night of the Demons","Feature Film","Adam Gierasch","4.7","93","2009","action, comedy, horror, thriller, war","5864","2009-08-30","http://www.imdb.com/title/tt1268809/"
"81","tt2301643","Tue Sep 30 03:07:19 2014","Tue Sep 30 03:07:19 2014","","Halloween Wars","TV Series","","7.9","42","2011","family","132","2011-10-02","http://www.imdb.com/title/tt2301643/"
"82","tt1451423","Thu Jun  9 02:09:42 2011","Thu Jun  9 02:09:42 2011","","The Boy Who Cried Werewolf","TV Movie","Eric Bross","6.3","83","2010","comedy, family, fantasy","1794","2010-10-22","http://www.imdb.com/title/tt1451423/"
"83","tt0128801","Mon Aug 26 11:34:51 2013","Mon Aug 26 11:34:51 2013","","Under Wraps","TV Movie","Greg Beeman","6.7","95","1997","comedy, family, horror","1602","1997-10-25","http://www.imdb.com/title/tt0128801/"
"84","tt0312004","Thu Jun  9 02:35:43 2011","Thu Jun  9 02:35:43 2011","","The Curse of the Were-Rabbit","Feature Film","Steve Box, Nick Park","7.5","85","2005","animation, comedy, family, mystery, sci_fi","97138","2005-09-04","http://www.imdb.com/title/tt0312004/"
"85","tt0131620","Tue Mar  8 05:16:02 2011","Tue Mar  8 05:16:02 2011","","Tower of Terror","TV Movie","D.J. MacHale","6.2","89","1997","horror, thriller, comedy, family","2572","1997-10-26","http://www.imdb.com/title/tt0131620/"
"86","tt0101821","Thu Jun  9 02:19:50 2011","Thu Jun  9 02:19:50 2011","","Ernest Scared Stupid","Feature Film","John Cherry","5.7","91","1991","comedy, family, fantasy","8410","1991-10-11","http://www.imdb.com/title/tt0101821/"
"87","tt0330859","Fri Oct 14 13:36:32 2011","Fri Oct 14 13:36:32 2011","","Scary Godmother: Halloween Spooktakular","TV Movie","Ezekiel Norton","7.3","47","2003","animation, comedy","352","2003-07-17","http://www.imdb.com/title/tt0330859/"
"88","tt0245674","Wed Oct  1 11:54:39 2014","Wed Oct  1 11:54:39 2014","","Thir13en Ghosts","Feature Film","Steve Beck","5.5","91","2001","horror","64887","2001-10-23","http://www.imdb.com/title/tt0245674/"
"89","tt0192255","Thu Jun  9 02:31:41 2011","Thu Jun  9 02:31:41 2011","","The Little Vampire","Feature Film","Uli Edel","5.7","95","2000","adventure, comedy, family, fantasy","7164","2000-08-18","http://www.imdb.com/title/tt0192255/"
"90","tt0267913","Fri Oct 14 13:37:34 2011","Fri Oct 14 13:37:34 2011","","Scooby-Doo","Feature Film","Raja Gosnell","4.9","86","2002","adventure, comedy, mystery","70486","2002-06-08","http://www.imdb.com/title/tt0267913/"
"91","tt0081738","Thu Jun  9 02:19:17 2011","Thu Jun  9 02:19:17 2011","","The Watcher in the Woods","Feature Film","John Hough","6.5","84","1980","family, horror, mystery, thriller","3874","1980-04-17","http://www.imdb.com/title/tt0081738/"
"92","tt4163020","Thu Oct 22 10:23:32 2015","Thu Oct 22 10:23:32 2015","","Tales of Halloween","Feature Film","Darren Lynn Bousman, Axelle Carolyn","5.4","92","2015","comedy, horror","5639","2015-07-24","http://www.imdb.com/title/tt4163020/"
"93","tt0257516","Mon Aug 26 09:41:28 2013","Mon Aug 26 09:41:28 2013","","Cursed","Feature Film","Wes Craven","5.0","97","2005","comedy, horror","25920","2005-02-25","http://www.imdb.com/title/tt0257516/"
"94","tt1792131","Fri Oct 14 12:52:51 2011","Fri Oct 10 10:28:45 2014","","Spooky Buddies","Video","Robert Vince","4.8","88","2011","family, fantasy","1020","2011-09-20","http://www.imdb.com/title/tt1792131/"
"95","tt0338094","Fri Oct 14 12:53:01 2011","Fri Oct 14 12:53:01 2011","","The Haunted Mansion","Feature Film","Rob Minkoff","4.9","88","2003","comedy, family, fantasy, horror, mystery","31656","2003-11-26","http://www.imdb.com/title/tt0338094/"
"96","tt1673423","Fri Oct 14 13:14:24 2011","Fri Oct 14 13:14:24 2011","","My Babysitter's a Vampire","TV Movie","Bruce McDonald","6.4","85","2010","adventure, comedy, fantasy, horror","2204","2010-10-09","http://www.imdb.com/title/tt1673423/"
"97","tt0116356","Fri Sep  6 04:17:53 2013","Fri Sep  6 04:17:53 2013","","Frankenstein and Me","Feature Film","Robert Tinnell","5.6","91","1996","comedy, family, fantasy, horror, sci_fi","303","1996-07-12","http://www.imdb.com/title/tt0116356/"
"98","tt4472596","Mon Sep 28 08:39:15 2015","Mon Sep 28 08:39:15 2015","","The Hollow","TV Movie","Sheldon Wilson","3.5","85","2015","horror","834","2015-10-24","http://www.imdb.com/title/tt4472596/"
"99","tt0106763","Fri Oct 14 13:28:33 2011","Fri Oct 14 13:28:33 2011","","Double, Double Toil and Trouble","TV Movie","Stuart Margolin","5.7","96","1993","adventure, comedy, family, fantasy, horror","2304","1993-10-30","http://www.imdb.com/title/tt0106763/"
"100","tt4189022","Mon Sep 28 08:44:39 2015","Mon Sep 28 08:44:39 2015","","Ash vs Evil Dead","TV Series","","8.7","30","2015","comedy, fantasy, horror","28457","2015-10-31","http://www.imdb.com/title/tt4189022/"
